
Thread-1::Middle Reading 
Thread-0::Source reading file...

Thread-2::Sink Reading
               Time Stamp,          Velocity,          Altitude,       Temperature,          Pressure,          Attitude
 2014 01 14::10:48:06:530,  768.363721710333, 63472.34130452074, -3.2957926492179297, 69.10488570010087, 13.30834284167971
 2014 01 14::10:48:07:030,    800.8643129237, 67248.75940807158, 4.696065954549283, 69.46568591426616, 14.299827609705618
 2014 01 14::10:48:07:531, 805.3439413353368, 67771.99580145747, 12.204082613258663, 69.77015310185242, 14.613510073303592
 2014 01 14::10:48:08:031, 809.2057064383467, 69683.98998234305, 14.052083854879982, 71.04162988114892, 14.799645852616027
 2014 01 14::10:48:08:531, 850.4315064772759, 70296.40908755998, 25.75943054725328, 72.05398883720959, 14.864813107430052
 2014 01 14::10:48:09:032, 851.9256943051289,  70826.2282988718, 26.09065921511197, 72.21483284775675, 15.123756021181133
 2014 01 14::10:48:09:532, 889.7163669544939,  73444.5199757827, 40.90543867828468, 72.38745240264133, 15.413360095255014
 2014 01 14::10:48:10:032,  906.757404298894, 74167.69564586427, 43.96617120384715,   72.748596649862, 15.700352988393673
 2014 01 14::10:48:10:532, 923.6651202781452, 75901.66533994286, 46.816646754679795, 73.37138328828318, 16.790220907889786
 2014 01 14::10:48:11:032,  925.103650185372, 78085.47707019106, 47.13733555737252,  76.1657704006602, 17.288249725680227
 2014 01 14::10:48:11:533, 932.0500792801513,  78365.8418559507, 49.53374336201135, 9419.596754671717,  17.4929730883135
 2014 01 14::10:48:12:033, 952.9375778391585, 80120.88856973937, 49.82451197120739, 77.35051501043921, 17.53337915703195
 2014 01 14::10:48:12:533, 959.7501974973188, 80632.42816597038, 51.22851882916253, 77.42610037138387, 17.738032359221744
 2014 01 14::10:48:13:033, 967.6594841738872, 81933.42815408825, 53.19260668664701, 79.02575350990593, 18.04290326821819
 2014 01 14::10:48:13:534, 970.8176924896901, 84634.59531703673, 55.24214968432099, 79.04863011373386, 18.074389772520092

Thread-0::End of file reached...

Thread-0::Read file complete, bytes read::4320 bytes written: 4320

Thread-1::Middle Exiting; bytes read: 4320 bytes written: 4320 2014 01 14::10:48:14:035, 981.2665444728555, 97533.16443008214, 58.93825391342168, 79.29189037077845,  18.6992117604284
 2014 01 14::10:48:14:535,  985.749651871751, 97555.86683233974,  62.7256262081705, 79.43620997253986, 19.07996804688067
 2014 01 14::10:48:15:036, 989.7344945373881, 98366.77906559281, 68.55036983302259, 79.55675219777247,  19.3091839420951
 2014 01 14::10:48:15:536, 990.0364695783271, 99865.12651702219, 70.39984918477172, 79.62069522904235, 19.91714482754353
 2014 01 14::10:48:16:036, 996.5177283227254, 99964.06127070491, 74.94775051040854, 79.64264109816432, 19.994136976294342

Thread-2::Sink Exiting; bytes read: 4320
