2014:14:12:04:31	-011.43866	024569.62828	74.04546	
2014:14:12:04:31	-009.21928	024601.47834	74.35349	
2014:14:12:04:31	-008.39873	024919.04350	75.00562	
2014:14:12:04:32	-007.02845	025186.94574	75.16140	
2014:14:12:04:32	-007.02845	025186.94574	75.16140	
2014:14:12:04:32	-007.02845	025186.94574	75.16140	
2014:14:12:04:32	-007.02845	025186.94574	75.16140	
2014:14:12:04:32	-007.02845	025186.94574	75.16140	
2014:14:12:04:32	-005.76149	025773.29125	75.45234	
2014:14:12:04:32	-005.17614	025854.61851	75.45244	
2014:14:12:04:33	-004.11294	025889.70168	75.52943	
2014:14:12:04:33	001.38579	027185.36620	76.08575	
2014:14:12:04:33	001.38579	027185.36620	76.08575	
2014:14:12:04:33	001.38579	027185.36620	76.08575	
2014:14:12:04:33	001.38579	027185.36620	76.08575	
2014:14:12:04:33	001.38579	027185.36620	76.08575	
2014:14:12:04:33	002.99585	027584.32538	76.66965	
2014:14:12:04:34	004.96832	027638.27338	76.76768	
2014:14:12:04:34	005.38940	028354.51953	76.98630	
2014:14:12:04:34	006.28644	028938.30852	77.52150	
2014:14:12:04:34	008.77747	029497.44035	77.64513	
2014:14:12:04:35	009.16028	029559.56542	77.66271	
2014:14:12:04:35	010.25116	029753.51699	77.71095	
2014:14:12:04:35	015.37233	029866.66932	78.49934	
2014:14:12:04:35	016.40046	029978.14068	79.13014	
2014:14:12:04:36	021.27850	030410.22909	79.72476	
